stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_park,geometry,GridID,nodeid_before,type,x,y,nodeid,p_n_dist
111,906369,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 16TH ST NW,33.789669,-84.387414,,,,,,0,FALSE,POINT (2229517.205698148 1378599.295188795),249,990029,rail,2229517.206,1378599.295,285784,0.025570038
112,906370,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 15TH ST NE,33.788828,-84.387272,,,,,,0,FALSE,POINT (2229559.692094075 1378293.188076255),249,990029,rail,2229559.692,1378293.188,500076,0.031974084
133,908374,MIDTOWN  STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781247,-84.386342,,,,,,0,FALSE,POINT (2229836.361149365 1375534.087520043),249,990028,rail,2229836.361,1375534.088,233609,0.014928377
134,908375,MIDTOWN STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781355,-84.386353,,,,,,0,FALSE,POINT (2229833.102643139 1375573.392558004),249,990028,rail,2229833.103,1375573.393,233609,0.007546535
185,908566,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765241,-84.312937,,,,,,0,TRUE,POINT (2252131.767795356 1369670.404469573),268,990012,rail,2252131.768,1369670.404,80538,0.02260817
186,908567,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765196,-84.313426,,,,,,0,TRUE,POINT (2251983.137223326 1369654.241616385),268,990012,rail,2251983.137,1369654.242,245757,0.012695216
193,908475,DECATUR STATION,400 CHURCH ST & E PONCE DE LEON AVE,33.774699,-84.295417,,,,,,0,FALSE,POINT (2257460.399472502 1373104.767895236),268,990013,rail,2257460.399,1373104.768,81307,0.030768158
195,908476,EDGEWOOD-CANDLER PARK STATION,1475 DEKALB AVE NE & HURT ST NE,33.761803,-84.340825,,,,,,0,TRUE,POINT (2243654.479942185 1368432.597496187),248,990011,rail,2243654.48,1368432.597,500053,0.027069731
198,908618,GEORGIA STATE STATION,170 PIEDMONT AVE SE & GEORGIA,33.750161,-84.385915,,,,,,0,FALSE,POINT (2229942.045616552 1364222.590752584),248,990008,rail,2229942.046,1364222.591,50953,0.034408733
201,908696,GEORGIA STATE STATION,170 PIEDMONT AVE SE & BROAD ST SW,33.750143,-84.385882,,,,,,0,FALSE,POINT (2229952.062177124 1364216.019810755),248,990008,rail,2229952.062,1364216.02,50953,0.03667758
204,908699,EDGEWOOD-CANDLER PARK STATION,1475 DEKALB AVE NE & HURT ST NE,33.761866,-84.340456,,,,,,0,TRUE,POINT (2243766.662341638 1368455.331942912),248,990011,rail,2243766.662,1368455.332,500053,0.009301808
206,908700,DECATUR STATION,400 CHURCH ST & E PONCE DE LEON AVE,33.774681,-84.295319,,,,,,0,FALSE,POINT (2257490.170248462 1373098.181075476),268,990013,rail,2257490.17,1373098.181,81307,0.025061981
217,908628,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.677424,-84.440542,,,,,,0,TRUE,POINT (2213267.716915908 1337795.755652256),227,990019,rail,2213267.717,1337795.756,44251,0.026516218
218,908629,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & THOMPSON AVE,33.70088,-84.428768,,,,,,0,TRUE,POINT (2216871.152064402 1346321.273109401),227,990020,rail,2216871.152,1346321.273,286242,0.035999345
219,908704,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.736564,-84.413653,,,,,,0,TRUE,POINT (2221499.118934768 1359294.141088652),228,990022,rail,2221499.119,1359294.141,500075,0.024388967
220,908705,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.735705,-84.413663,,,,,,0,TRUE,POINT (2221495.330590993 1358981.586467223),228,990022,rail,2221495.331,1358981.586,47803,0.025364976
221,908706,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & MAIN ST,33.700298,-84.428865,,,,,,0,TRUE,POINT (2216841.113918171 1346109.578430543),227,990020,rail,2216841.114,1346109.578,286242,0.026827331
222,908707,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.676985,-84.440704,,,,,,0,TRUE,POINT (2213218.011100595 1337636.150021898),227,990019,rail,2213218.011,1337636.15,300597,0.024968321
224,908709,KENSINGTON STATION,3350 KENSINGTON RD & UNNAMED ST,33.772764,-84.252151,,,,,,0,TRUE,POINT (2270606.915032862 1372387.018574005),268,991015,rail,2270606.915,1372387.019,255252,0.090408527
232,908634,KENSINGTON STATION,3350 KENSINGTON RD & E PONCE DE LEON AVE,33.772647,-84.251607,,,,,,0,TRUE,POINT (2270772.187143312 1372344.309328532),268,990015,rail,2270772.187,1372344.309,500061,0.068339744
243,908717,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845307,-84.358387,,,,,,0,TRUE,POINT (2238373.730403427 1398826.721176764),249,255015,rail,2238373.73,1398826.721,255015,0.00356824
244,908718,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.84781,-84.367629,,,,,,0,FALSE,POINT (2235569.474618892 1399742.851433189),249,990031,rail,2235569.475,1399742.851,57875,0.018087647
249,908639,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.847944,-84.367716,,,,,,0,FALSE,POINT (2235543.155942116 1399791.662072539),249,990031,rail,2235543.156,1399791.662,57878,0.015819129
250,906827,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845388,-84.358235,,,,,,0,TRUE,POINT (2238419.93517838 1398856.108924086),249,990036,rail,2238419.935,1398856.109,255015,0.012909952
269,907960,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772159,-84.428873,,,,,,0,TRUE,POINT (2216905.1381648 1372257.45569152),228,990001,rail,2216905.138,1372257.456,48395,0.018543136
270,907961,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772436,-84.428906,,,,,,0,TRUE,POINT (2216895.366677672 1372358.273046515),228,993001,rail,2216895.367,1372358.273,48395,0.037399373
280,907913,NORTH AVENUE STATION,713 W PEACHTREE ST NW & NORTH AVE NE,33.771472,-84.387258,,,,,,0,TRUE,POINT (2229550.426554948 1371977.859901574),248,990027,rail,2229550.427,1371977.86,51861,0.018503034
281,907914,NORTH AVENUE STATION,713 W PEACHTREE ST NW & UNNAMED ST,33.771741,-84.387204,,,,,,0,TRUE,POINT (2229567.045443169 1372075.705546889),248,990027,rail,2229567.045,1372075.706,285796,0.010261413
355,906311,HOWELL MILL RD@KIPLING DR,HOWELL MILL RD NW & KIPLING DR NW,33.81354,-84.414774,,,,,,0,FALSE,POINT (2221225.76096655 1387304.175614474),229,54970,bus,2221225.761,1387304.176,54970,0.00381263
375,908862,DORAVILLE STATION,6000 NEW PEACHTREE RD & PARK AVE,33.902411,-84.281166,,,,,,0,TRUE,POINT (2261842.518996304 1419570.503141901),270,990039,rail,2261842.519,1419570.503,90005,0.061493208
384,908845,DORAVILLE STATION,6000 NEW PEACHTREE RD & LENOX RD NE,33.902787,-84.28061,,,,,,0,TRUE,POINT (2262011.369580857 1419707.13292312),270,990039,rail,2262011.37,1419707.133,90005,0.063671484
394,908872,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD NE & HOLLIS COBB CIR,33.910757,-84.35189,,,,,,0,FALSE,POINT (2240389.250926544 1422638.724321838),250,990032,rail,2240389.251,1422638.724,60572,0.056337938
399,908885,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD & HOLLIS COBB CIR,33.910739,-84.351759,,,,,,0,FALSE,POINT (2240428.98268109 1422632.10288278),250,990032,rail,2240428.983,1422632.103,60572,0.062131411
429,908911,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766111,-84.387504,,,,,,0,FALSE,POINT (2229471.493149556 1370027.319159617),248,990026,rail,2229471.493,1370027.319,233532,0.018460162
430,908912,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766236,-84.387504,,,,,,0,FALSE,POINT (2229471.590587723 1370072.80274456),248,990026,rail,2229471.591,1370072.803,51097,0.010222977
470,908958,VINE CITY STATION,502 RHODES ST NW & UNNAMED ST,33.756613,-84.403902,,,,,,0,FALSE,POINT (2224480.224316549 1366582.367564256),228,48276,rail,2224480.224,1366582.368,48276,0.068201187
471,908959,VINE CITY STATION,502 RHODES ST NW & ELECTRIC AVE NW,33.756613,-84.404021,,,,,,0,FALSE,POINT (2224444.05647958 1366582.450799005),228,48276,rail,2224444.056,1366582.451,48275,0.074782823
485,908963,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756478,-84.41723,,,,,,0,TRUE,POINT (2220429.306448006 1366542.827087873),228,990004,rail,2220429.306,1366542.827,48047,0.018295032
486,908964,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756477,-84.417328,,,,,,0,TRUE,POINT (2220399.520227893 1366542.53561263),228,990004,rail,2220399.52,1366542.536,48047,0.013975121
693,908301,OAKLAND CITY STATION,1400 LEE ST SW & MAIN ST,33.7173,-84.42503,,,,,,0,TRUE,POINT (2218022.935088185 1352293.082957389),228,990021,rail,2218022.935,1352293.083,233104,0.025510716
694,908302,OAKLAND CITY STATION,1400 LEE ST SW & UNNAMED ST,33.716978,-84.425138,,,,,,0,TRUE,POINT (2217989.802103493 1352176.000266792),228,990021,rail,2217989.802,1352176,202741,0.022970069
730,908480,NORTH SPRINGS STATION,7010 PEACHTREE DUNWOODY RD & PERIMETER CTR W,33.944377,-84.357253,,,,,,0,FALSE,POINT (2238784.904795622 1434875.277828527),251,990035,rail,2238784.905,1434875.278,281096,0.248384192
796,908435,DOME-GWCC-PHILIPS ARENA-CNN STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756179,-84.397215,,,,,,0,FALSE,POINT (2226512.260326728 1366419.838610063),248,990006,rail,2226512.26,1366419.839,50832,0.017264007
797,908981,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753837,-84.391397,,,,,,0,FALSE,POINT (2228278.684435021 1365563.755818933),248,990024,rail,2228278.684,1365563.756,281277,0.043892966
798,908436,KING MEMORIAL STATION,377 DECATUR ST SE & UNNAMED ST,33.749951,-84.375675,,,,,,0,FALSE,POINT (2233054.37954343 1364139.716028729),248,993009,rail,2233054.38,1364139.716,300648,0.053177844
799,908437,INMAN PARK-REYNOLDSTOWN STATION,1055 DEKALB AVE NE & UNNAMED ST,33.757451,-84.352762,,,,,,0,TRUE,POINT (2240023.816290798 1366855.382315815),248,990010,rail,2240023.816,1366855.382,286241,0.014513201
800,908438,AVONDALE STATION,915 E PONCE DE LEON AVE & E PONCE DE LEON AVE,33.775554,-84.281487,,,,,,0,TRUE,POINT (2261693.610937297 1373410.873616851),268,990014,rail,2261693.611,1373410.874,81440,0.04137844
801,908515,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769856,-84.228906,,,,,,0,TRUE,POINT (2277669.815346176 1371323.828418341),288,990016,rail,2277669.815,1371323.828,500062,0.064156643
802,908516,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769893,-84.229874,,,,,,0,TRUE,POINT (2277375.664154042 1371337.470532426),288,990016,rail,2277375.664,1371337.471,84726,0.038298666
803,908691,AVONDALE STATION,915 E PONCE DE LEON AVE & E PONCE DE LEON AVE,33.775214,-84.282466,,,,,,0,TRUE,POINT (2261395.989292435 1373287.491177044),268,990014,rail,2261395.989,1373287.491,280581,0.044510839
804,908692,INMAN PARK-REYNOLDSTOWN STATION,1055 DEKALB AVE NE & HURT ST NE,33.757227,-84.353066,,,,,,0,TRUE,POINT (2239931.274815008 1366774.042807929),248,990010,rail,2239931.275,1366774.043,286241,0.027011127
805,908693,KING MEMORIAL STATION,377 DECATUR ST SE & UNNAMED ST,33.749853,-84.37599,,,,,,0,FALSE,POINT (2232958.561439542 1364104.251192982),248,993009,rail,2232958.561,1364104.251,300648,0.039747523
806,908990,FIVE POINTS STATION,30 ALABAMA ST SW & BROAD ST SW,33.754123,-84.391876,,,,,,0,FALSE,POINT (2228133.323928757 1365668.139690152),248,990024,rail,2228133.324,1365668.14,340429,0.023950818
807,908694,DOME-GWCC-PHILIPS ARENA-CNN STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756187,-84.397291,,,,,,0,FALSE,POINT (2226489.167938659 1366422.801210693),248,990006,rail,2226489.168,1366422.801,50832,0.016393427
808,908695,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640831,-84.446198,,,,,,0,FALSE,POINT (2211511.095655326 1324485.524496059),226,990017,rail,2211511.096,1324485.524,233097,0.068499426
809,908599,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650577,-84.448656,,,,,,0,TRUE,POINT (2210772.698572483 1328033.756687033),227,990018,rail,2210772.699,1328033.757,43953,0.046263676
810,908600,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748938,-84.395545,,,,,,0,FALSE,POINT (2227013.980392166 1363783.939997584),248,990023,rail,2227013.98,1363783.94,50570,0.044496843
811,908986,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.754052,-84.391452,,,,,,0,FALSE,POINT (2228262.138209792 1365642.023873968),248,990024,rail,2228262.138,1365642.024,285813,0.047646907
812,908601,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NW,33.758189,-84.387596,,,,,,0,FALSE,POINT (2229437.357395855 1367144.813260048),248,990025,rail,2229437.357,1367144.813,50995,0.014798265
813,908602,LINDBERGH POCKET,LINDBERGH DR NE & GARSON DR NE,33.820655,-84.370095,,,,,,0,FALSE,POINT (2234801.241415825 1389863.364317894),249,990030,rail,2234801.241,1389863.364,57615,0.030097336
814,908603,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887929,-84.305556,,,,,,0,TRUE,POINT (2254435.098597702 1414309.983091476),270,990038,rail,2254435.099,1414309.983,88000,0.059191761
815,908604,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887517,-84.306362,,,,,,0,TRUE,POINT (2254190.30076082 1414160.398046201),270,990038,rail,2254190.301,1414160.398,88000,0.047682034
816,908605,LINDBERGH POCKET,LINDBERGH DR NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.820565,-84.370117,,,,,,0,FALSE,POINT (2234794.495182686 1389830.629066536),249,990030,rail,2234794.495,1389830.629,57615,0.036022264
817,907842,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NE,33.758082,-84.387595,,,,,,0,FALSE,POINT (2229437.577897744 1367105.878710733),248,50994,rail,2229437.578,1367105.879,50994,0.014374074
818,908976,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753899,-84.39156,,,,,,0,FALSE,POINT (2228229.19123743 1365586.423643071),248,990024,rail,2228229.191,1365586.424,340429,0.047761653
819,907843,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748696,-84.395741,,,,,,0,FALSE,POINT (2226954.208955393 1363696.016277452),248,990023,rail,2226954.209,1363696.016,50570,0.054063984
820,907844,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650282,-84.448612,,,,,,0,TRUE,POINT (2210785.795321226 1327926.380729421),227,990018,rail,2210785.795,1327926.381,243648,0.056246538
821,906647,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640553,-84.446198,,,,,,0,FALSE,POINT (2211510.822261217 1324384.370881965),226,990017,rail,2211510.822,1324384.371,201638,0.051872359
822,907845,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931671,-84.351069,,,,,,0,TRUE,POINT (2240651.999027608 1430248.410553273),251,990034,rail,2240651.999,1430248.411,243287,0.031308379
823,907846,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931564,-84.35096,,,,,,0,TRUE,POINT (2240684.990108998 1430209.416214835),251,990034,rail,2240684.99,1430209.416,234922,0.027626171
824,907847,E-145 POCKET TRACK,DEKALB AVE NE & HAMPTON TER NE,33.760148,-84.325669,,,,,,0,FALSE,POINT (2248259.650238245 1367822.953847692),248,990011,rail,2248259.65,1367822.954,53340,0.012846094
825,908606,E-145 POCKET TRACK,DEKALB AVE NE & HAMPTON TER NE,33.760122,-84.326093,,,,,,0,FALSE,POINT (2248130.774218373 1367813.692277138),248,990011,rail,2248130.774,1367813.692,53340,0.035039038
1118,906837,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640294,-84.446197,,,,,,0,FALSE,POINT (2211510.871895772 1324290.129825906),226,990017,rail,2211510.872,1324290.13,201638,0.03483508
9008,902632,N MAIN ST @ WINTHROPE PARK DR,0 MAIN & WINTHROPE PARK,34.089495,-84.294218,,,,,,0,FALSE,POINT (2257967.081717536 1487651.588977354),273,209258,bus,2257967.082,1487651.589,209258,0.02685309
9012,902630,N MAIN ST @ 379,,34.085826,-84.294957,,,,,,0,FALSE,POINT (2257741.673384835 1486316.767513332),273,298357,bus,2257741.673,1486316.768,298357,0.008548281
9016,902631,N MAIN ST @ 301,0 MAIN & PINE GROVE,34.08386,-84.294755,,,,,,0,FALSE,POINT (2257801.935400906 1485601.289299183),273,108863,bus,2257801.935,1485601.289,108863,0.096996505
9020,900005,N MAIN ST @ PINE GROVE DR,0 MAIN & PINE GROVE,34.082292,-84.294607,,,,,,0,FALSE,POINT (2257846.031507045 1485030.658791423),273,108863,bus,2257846.032,1485030.659,108863,0.01634741
9025,900006,N MAIN ST @ MAYFIELD RD,0 MAIN & MAYFIELD,34.080401,-84.29444,,,,,,0,FALSE,POINT (2257895.735276836 1484342.485940137),273,242464,bus,2257895.735,1484342.486,242464,0.012343953
9030,900018,N MAIN ST @ CUMMING ST,0 MAIN & CUMMING,34.078152,-84.294291,,,,,,0,FALSE,POINT (2257939.828524601 1483524.0488389),273,108861,bus,2257939.829,1483524.049,108861,0.027495035
9031,900007,N MAIN ST @ ACADEMY ST,0 MAIN & ACADEMY,34.076201,-84.294288,,,,,,0,FALSE,POINT (2257939.850860754 1482814.10537028),273,334605,bus,2257939.851,1482814.105,334605,0.017867791
9034,900008,N MAIN ST @ VAUGHAN DR,0 MAIN & VAUGHN,34.090788,-84.292399,,,,,,0,FALSE,POINT (2258518.364228087 1488121.412809948),273,108902,bus,2258518.364,1488121.413,108902,0.022313206
9224,900010,N MAIN ST @ VAUGHAN DR,0 N MAIN ST & VAUGHN DR,34.090721,-84.293124,,,,,,0,FALSE,POINT (2258298.843039149 1488097.303121086),273,263416,bus,2258298.843,1488097.303,263416,0.01529926
9226,900011,N MAIN ST @ PINE GROVE DR,0 MAIN & PINE GROVE,34.082476,-84.295051,,,,,,0,FALSE,POINT (2257711.682816706 1485097.782454754),273,108863,bus,2257711.683,1485097.782,108863,0.013575946
10004,900012,WINDWARD PKWY @ DEERFIELD PKWY,0 WINDWARD PKY & DEERFIELD PKY,34.08758,-84.268277,,,,,,0,FALSE,POINT (2265820.047621333 1486945.942561889),273,109202,bus,2265820.048,1486945.943,109202,0.063839637
10006,900013,WINDWARD PKWY @ 5532,5532 WINDWARD PKY,34.087337,-84.265132,,,,,,0,FALSE,POINT (2266772.134989531 1486856.586300258),273,216424,bus,2266772.135,1486856.586,216424,0.020946035
10008,900014,WINDWARD PKWY @ NORTH POINT PKWY,0 WINDWARD & NORTH POINT,34.08886,-84.2579,,,,,,0,FALSE,POINT (2268962.178408495 1487408.754537569),273,109221,bus,2268962.178,1487408.755,109221,0.053972052
10010,902838,WINDWARD PKWY @ NORTH POINT PKWY,0 WINDWARD PKY & NORTH POINT PKY,34.088603,-84.257107,,,,,,0,FALSE,POINT (2269202.178782538 1487315.022270225),273,109221,bus,2269202.179,1487315.022,109221,0.008478413
10040,902839,MARTIN L KING JR DR NW @ OLLIE ST NW,0 MARTIN LUTHER KING JR DR NW & OLLIE ST NW,33.754809,-84.421186,,,,,,0,FALSE,POINT (2219225.45239455 1365938.475540576),228,47704,bus,2219225.452,1365938.476,47704,0.005716243
10044,902840,NORTH POINT PKY@900,,34.08083,-84.25948,,,,,,0,FALSE,POINT (2268481.176028446 1484487.175110442),273,340318,bus,2268481.176,1484487.175,340318,0.016289874
10046,902796,NORTH POINT PKY@960,,34.078413,-84.260238,,,,,,0,FALSE,POINT (2268250.862746474 1483607.87093126),273,208139,bus,2268250.863,1483607.871,208139,0.018155541
10048,902797,NORTH POINT PKY@300,,34.08645,-84.25687,,,,,,0,FALSE,POINT (2269273.240173918 1486531.510532823),273,256055,bus,2269273.24,1486531.511,256055,0.020125031
10054,902798,NORTH POINT PKY @ 960,,34.078163,-84.260696,,,,,,0,FALSE,POINT (2268112.101195316 1483517.026570369),273,208139,bus,2268112.101,1483517.027,208139,0.029037815
10056,902799,NORTH POINT PKY @ WEBB BRIDGE RD,0 NORTH POINT PKY & WEBB BRIDGE RD,34.076401,-84.260458,,,,,,0,FALSE,POINT (2268183.57738119 1482875.79284199),273,109189,bus,2268183.577,1482875.793,109189,0.010600079
10134,902902,FAIR ST SW@NORTHSIDE DR SW,0 FAIR & NORTHSIDE,33.748929,-84.404936,,,,,,0,FALSE,POINT (2224159.498985585 1363787.130015074),228,47981,bus,2224159.499,1363787.13,47981,0.024392388
10142,906745,DEERFIELD PKWY @ MORRIS RD,DEERFIELD PKY & MORRIS RD,34.090757,-84.269956,,,,,,0,FALSE,POINT (2265312.885755974 1488102.520915108),273,13404,bus,2265312.886,1488102.521,13404,0.020446386
10146,902976,WINDWARD PKWY @ JORDAN CT,5230 WINDWARD,34.092278,-84.276484,,,,,,0,FALSE,POINT (2263337.152667693 1488658.053342829),273,209026,bus,2263337.153,1488658.053,209026,0.02749483
10148,902977,SR 9 @ WINDWARD PKWY,0 CUMMING HWY & N MAIN ST,34.09459,-84.277967,,,,,,0,FALSE,POINT (2262889.104037287 1489499.846305784),273,109044,bus,2262889.104,1489499.846,109044,0.01902455
10150,902978,N MAIN ST @ COGBURN RD,0 CUMMING HWY & COGBURN RD,34.092248,-84.284312,,,,,,0,FALSE,POINT (2260967.284414367 1488649.773523714),273,241579,bus,2260967.284,1488649.774,241579,0.014835121
10168,902903,N MAIN ST @ 684,,34.091726,-84.290431,,,,,,0,FALSE,POINT (2259114.582092998 1488462.011897784),273,108908,bus,2259114.582,1488462.012,108908,0.012991211
10170,902904,N MAIN ST @ WATER OAK PL,,34.091927,-84.288615,,,,,,0,FALSE,POINT (2259664.450444577 1488534.492450913),273,234662,bus,2259664.45,1488534.492,234662,0.030892163
10172,902905,DEERFIELD PKWY @ MORRIS RD,0 DEERFIELD PKY & MORRIS RD,34.089933,-84.269247,,,,,,0,FALSE,POINT (2265527.231965176 1487802.461845169),273,222535,bus,2265527.232,1487802.462,222535,0.021902048
10174,902979,DEERFIELD PKWY @ TWO VERIZON PL,0 DEERFIELD PKY & TWO VERIZON PL,34.09337,-84.270926,,,,,,0,FALSE,POINT (2265020.191701645 1489053.656173493),273,13405,bus,2265020.192,1489053.656,13405,0.020562088
10176,902980,DEERFIELD PKWY @ THREE VERIZON PL,0 DEERFIELD PKY & VERIZON PL,34.09548,-84.267954,,,,,,0,FALSE,POINT (2265920.686809012 1489820.553685232),273,13407,bus,2265920.687,1489820.554,13407,0.017879402
10186,902981,N MAIN ST @ WINDWARD PKY W,0 MAIN & WINDWARD,34.093963,-84.279531,,,,,,0,FALSE,POINT (2262415.378233227 1489272.20815254),273,241520,bus,2262415.378,1489272.208,241520,0.013195642
10188,902982,OLD MILTON PKY @ BRIDGE POINTE DR,0 OLD MILTON PKY & BRIDGE POINTE DR,34.06256,-84.24747,,,,,,0,FALSE,POINT (2272112.329755021 1477835.893215289),273,109231,bus,2272112.33,1477835.893,109231,0.028347639
10190,902900,OLD MILTON PKWY @ CAMDEN WAY,0 OLD MILTON PKY & CAMDEN WAY,34.06334,-84.249521,,,,,,0,FALSE,POINT (2271491.421400357 1478120.220646202),273,125177,bus,2271491.421,1478120.221,125177,0.017399084
10202,906797,NORTH POINT PKY@WINDWARD PKY,,34.08848,-84.256477,,,,,,0,FALSE,POINT (2269392.874411167 1487270.096027828),273,109223,bus,2269392.874,1487270.096,109223,0.025762504
10212,903045,N MAIN ST @ HENDERSON PKWY,0 MAIN & COGBURN,34.092039,-84.285415,,,,,,0,FALSE,POINT (2260633.272723449 1488574.107217772),273,109007,bus,2260633.273,1488574.107,109007,0.013580291
10214,903046,N MAIN ST @ CANTON ST,0 MAIN & CANTON,34.088795,-84.29524,,,,,,0,FALSE,POINT (2257657.349968957 1487397.255624132),273,108897,bus,2257657.35,1487397.256,108897,0.021863993
10218,903083,OLD MILTON PKWY @ BROOKSIDE PKY,3625 OLD MILTON PKY & BROOKSIDE PKY,34.064694,-84.253908,,,,,,0,FALSE,POINT (2270163.265986737 1478614.026095712),273,11034,bus,2270163.266,1478614.026,11034,0.045503354
